what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429765478441
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429766147182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429766147767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429766481818
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429766489374
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429766585511
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429766586526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429766682209
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429766682894
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429766932602
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429766933353
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429768432065
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429768432730
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429768948175
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429768950870
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429768952302
started,bundle,org.eclipse.wst.jsdt.debug.core,2.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.core",1429768954791
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429768955629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429768956264
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429768962377
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1429768974163
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1429768974196
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1429768974222
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1429768974257
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1429768974328
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1429768974386
